year: 1984, revenue: 203.26
year: 1985, revenue: 217.70
year: 1986, revenue: 233.15
year: 1987, revenue: 249.71
year: 1988, revenue: 267.44
year: 1989, revenue: 286.42
year: 1990, revenue: 306.76
year: 1991, revenue: 328.54
year: 1992, revenue: 351.87
year: 1993, revenue: 376.85
year: 1994, revenue: 403.61
year: 1995, revenue: 432.26
year: 1996, revenue: 462.95
year: 1997, revenue: 495.82
year: 1998, revenue: 531.03
year: 1999, revenue: 568.73
year: 2000, revenue: 609.11
year: 2001, revenue: 652.35
year: 2002, revenue: 698.67
year: 2003, revenue: 748.28
year: 2004, revenue: 801.40
year: 2005, revenue: 858.30
year: 2006, revenue: 919.24
year: 2007, revenue: 984.51
year: 2008, revenue: 1054.41
year: 2009, revenue: 1129.27
year: 2010, revenue: 1209.45
year: 2011, revenue: 1295.32
year: 2012, revenue: 1387.29
year: 2013, revenue: 1485.79
year: 2014, revenue: 1591.28
year: 2015, revenue: 1704.26
year: 2016, revenue: 1825.26
year: 2017, revenue: 1954.86
year: 2018, revenue: 2093.65
year: 2019, revenue: 2242.30
year: 2020, revenue: 2401.51
year: 2021, revenue: 2572.01
year: 2022, revenue: 2754.63
year: 2023, revenue: 2950.20
year: 2024, revenue: 3159.67
year: 2025, revenue: 3384.00
year: 2026, revenue: 3624.27
year: 2027, revenue: 3881.59
year: 2028, revenue: 4157.18
year: 2029, revenue: 4452.34
year: 2030, revenue: 4768.46
year: 2031, revenue: 5107.02
year: 2032, revenue: 5469.62
year: 2033, revenue: 5857.96
year: 2034, revenue: 6273.88
year: 2035, revenue: 6719.32
year: 2036, revenue: 7196.40
year: 2037, revenue: 7707.34
year: 2038, revenue: 8254.56
year: 2039, revenue: 8840.64
year: 2040, revenue: 9468.32
year: 2041, revenue: 10140.57
year: 2042, revenue: 10860.55
year: 2043, revenue: 11631.65
year: 2044, revenue: 12457.50
year: 2045, revenue: 13341.98
year: 2046, revenue: 14289.26
year: 2047, revenue: 15303.80
year: 2048, revenue: 16390.37
year: 2049, revenue: 17554.09
year: 2050, revenue: 18800.43
year: 2051, revenue: 20135.26
year: 2052, revenue: 21564.86
year: 2053, revenue: 23095.96
year: 2054, revenue: 24735.78
year: 2055, revenue: 26492.02
year: 2056, revenue: 28372.95
year: 2057, revenue: 30387.43
year: 2058, revenue: 32544.94
year: 2059, revenue: 34855.63
year: 2060, revenue: 37330.38
year: 2061, revenue: 39980.83
year: 2062, revenue: 42819.47
year: 2063, revenue: 45859.66
year: 2064, revenue: 49115.69
year: 2065, revenue: 52602.91
year: 2066, revenue: 56337.71
year: 2067, revenue: 60337.69
year: 2068, revenue: 64621.67
year: 2069, revenue: 69209.80
year: 2070, revenue: 74123.70
year: 2071, revenue: 79386.48
year: 2072, revenue: 85022.92
year: 2073, revenue: 91059.55
year: 2074, revenue: 97524.78
year: 2075, revenue: 104449.04
year: 2076, revenue: 111864.92
year: 2077, revenue: 119807.33
year: 2078, revenue: 128313.65
year: 2079, revenue: 137423.92
year: 2080, revenue: 147181.02
year: 2081, revenue: 157630.87
year: 2082, revenue: 168822.66
year: 2083, revenue: 180809.07
year: 2084, revenue: 193646.52
year: 2085, revenue: 207395.42
year: 2086, revenue: 222120.49
year: 2087, revenue: 237891.05
year: 2088, revenue: 254781.31
year: 2089, revenue: 272870.79
year: 2090, revenue: 292244.61
year: 2091, revenue: 312993.98
year: 2092, revenue: 335216.55
year: 2093, revenue: 359016.93
year: 2094, revenue: 384507.13
year: 2095, revenue: 411807.13
year: 2096, revenue: 441045.44
year: 2097, revenue: 472359.67
year: 2098, revenue: 505897.20
year: 2099, revenue: 541815.91
year: 2100, revenue: 580284.83
year: 2101, revenue: 621485.06
year: 2102, revenue: 665610.50
year: 2103, revenue: 712868.84
year: 2104, revenue: 763482.53
year: 2105, revenue: 817689.79
year: 2106, revenue: 875745.77
year: 2107, revenue: 937923.71
year: 2108, revenue: 1004516.30
